date,symbol,open,close,volume
2010-01-04,AAPL,30.4899997143,30.5728568571,123432400.0
2010-01-05,AAPL,30.6571425714,30.6257132857,150476200.0
2010-01-06,AAPL,30.6257132857,30.1385707143,138040000.0
2010-01-07,AAPL,30.25,30.0828571428,119282800.0
2010-01-08,AAPL,30.0428562857,30.2828578571,111902700.0
2010-01-11,AAPL,30.3999995714,30.0157147143,115557400.0
2010-01-12,AAPL,29.884285,29.6742858571,148614900.0
2010-01-13,AAPL,29.695715,30.0928574285,151473000.0
2010-01-14,AAPL,30.0157147143,29.9185714285,108223500.0
2010-01-15,AAPL,30.1328564285,29.4185714285,148516900.0
2010-01-19,AAPL,29.7614288571,30.7199992857,182501900.0
2010-01-20,AAPL,30.7014294285,30.2471428571,153038200.0
2010-01-21,AAPL,30.297142,29.7242851428,152038600.0
2010-01-22,AAPL,29.5400008571,28.25,220441900.0
2010-01-25,AAPL,28.9300002857,29.0100002857,266424900.0
2010-01-26,AAPL,29.4214287143,29.4200001428,466777500.0
2010-01-27,AAPL,29.5499992857,29.6971435714,430642100.0
2010-01-28,AAPL,29.2757148571,28.4699992857,293375600.0
2010-01-29,AAPL,28.7257137143,27.4371432857,311488100.0
2010-02-01,AAPL,27.4814281428,27.8185711428,187469100.0
2010-02-02,AAPL,27.9871425714,27.9799995714,174585600.0
2010-02-03,AAPL,27.8814277143,28.4614277143,153832000.0
2010-02-04,AAPL,28.1042861428,27.4357147143,189413000.0
2010-02-05,AAPL,27.5185718571,27.9228572857,212576700.0
2010-02-08,AAPL,27.9557151428,27.7314281428,119567700.0
2010-02-09,AAPL,28.0599994285,28.0271434285,158221700.0
2010-02-10,AAPL,27.9842852857,27.8742867143,92590400.0
2010-02-11,AAPL,27.8400001428,28.3814277143,137586400.0
2010-02-12,AAPL,28.3014278571,28.6257132857,163867200.0
2010-02-16,AAPL,28.8485717143,29.0571422857,135934400.0
2010-02-17,AAPL,29.1700001428,28.9357147143,109099200.0
2010-02-18,AAPL,28.804285,28.9899997143,105706300.0
2010-02-19,AAPL,28.837143,28.8099994285,103867400.0
2010-02-22,AAPL,28.905714,28.6314277143,97640900.0
2010-02-23,AAPL,28.5714282857,28.1514282857,143773700.0
2010-02-24,AAPL,28.3185711428,28.6657142857,115141600.0
2010-02-25,AAPL,28.1971435714,28.8571434285,166281500.0
2010-02-26,AAPL,28.9114284285,29.2314281428,126865200.0
2010-03-01,AAPL,29.3928565714,29.8557148571,137523400.0
2010-03-02,AAPL,29.9899997143,29.8357142857,141636600.0
2010-03-03,AAPL,29.8485717143,29.9042854285,93013200.0
2010-03-04,AAPL,29.8971424285,30.101429,91510300.0
2010-03-05,AAPL,30.7057151428,31.2785721428,224905100.0
2010-03-08,AAPL,31.4300002857,31.297142,107472400.0
2010-03-09,AAPL,31.1871432857,31.8600005714,230064800.0
2010-03-10,AAPL,31.9757137143,32.119999,149054500.0
2010-03-11,AAPL,31.9871425714,32.2142868571,101425100.0
2010-03-12,AAPL,32.48143,32.3714294285,104080900.0
2010-03-15,AAPL,32.1971435714,31.9771422857,123375700.0
2010-03-16,AAPL,32.0257148571,32.0642852857,111727000.0
2010-03-17,AAPL,32.1285705714,32.0171432857,112739200.0
2010-03-18,AAPL,32.014286,32.0928574285,85527400.0
2010-03-19,AAPL,32.1128578571,31.75,139861400.0
2010-03-22,AAPL,31.4957141428,32.1071434285,114104900.0
2010-03-23,AAPL,32.2342872857,32.6228561428,150607800.0
2010-03-24,AAPL,32.5200004285,32.7671432857,149445100.0
2010-03-25,AAPL,32.9885711428,32.3785705714,135571100.0
2010-03-26,AAPL,32.7071418571,32.985714,160218800.0
2010-03-29,AAPL,33.2857131428,33.1985702857,135186100.0
2010-03-30,AAPL,33.7999992857,33.6928558571,131827500.0
2010-03-31,AAPL,33.6414298571,33.5714301428,107664900.0
2010-04-01,AAPL,33.9157142857,33.7099991428,150786300.0
2010-04-05,AAPL,33.568573,34.0699997143,171126900.0
2010-04-06,AAPL,34.0285721428,34.2200012857,111754300.0
2010-04-07,AAPL,34.2214278571,34.3714294285,157125500.0
2010-04-08,AAPL,34.3485717143,34.2785721428,143247300.0
2010-04-09,AAPL,34.4900017143,34.5414275714,83545700.0
2010-04-12,AAPL,34.5999984285,34.6128578571,83256600.0
2010-04-13,AAPL,34.5514297143,34.6328582857,76552700.0
2010-04-14,AAPL,35.0400008571,35.0985717143,101019100.0
2010-04-15,AAPL,35.1114272857,35.5600014285,94196200.0
2010-04-16,AAPL,35.5099982857,35.3428574285,187636400.0
2010-04-19,AAPL,35.2900008571,35.2957152857,141731100.0
2010-04-20,AAPL,35.5057144285,34.9414291428,184581600.0
2010-04-21,AAPL,36.9714278571,37.0314292857,245597800.0
2010-04-22,AAPL,36.8914298571,38.0671424285,198356200.0
2010-04-23,AAPL,38.2842864285,38.6899985714,199238900.0
2010-04-26,AAPL,38.8400001428,38.5,119767200.0
2010-04-27,AAPL,38.181427,37.4342841428,177335900.0
2010-04-28,AAPL,37.6071434285,37.3714294285,189600600.0
2010-04-29,AAPL,37.5742874285,38.3771438571,139710200.0
2010-04-30,AAPL,38.4728584285,37.2985725714,135615900.0
2010-05-03,AAPL,37.6914291428,38.0499992857,113585500.0
2010-05-04,AAPL,37.5557137142,36.9542847142,180954900.0
2010-05-05,AAPL,36.1471442857,36.5699997142,220775800.0
2010-05-06,AAPL,36.2614288571,35.1785698571,321465200.0
2010-05-07,AAPL,34.8157158571,33.6942862857,419004600.0
2010-05-10,AAPL,35.75,36.2842864285,246076600.0
2010-05-11,AAPL,35.9771422857,36.6457138571,212226700.0
2010-05-12,AAPL,37.0342864285,37.4414291428,163594900.0
2010-05-13,AAPL,37.6028557142,36.9085731428,149928100.0
2010-05-14,AAPL,36.4514274285,36.2599982857,189840700.0
2010-05-17,AAPL,36.3857154285,36.3171424285,190708700.0
2010-05-18,AAPL,36.7114295714,36.0514297142,195669600.0
2010-05-19,AAPL,35.6428565714,35.4771422857,256431700.0
2010-05-20,AAPL,34.554287,33.9657135714,320728800.0
2010-05-21,AAPL,33.2599982857,34.6171417143,305972800.0
2010-05-24,AAPL,35.3257141428,35.2514267143,188559700.0
2010-05-25,AAPL,34.1928558571,35.0314292857,262001600.0
2010-05-26,AAPL,35.7257155714,34.8728561428,212663500.0
2010-05-27,AAPL,35.7999992857,36.1928558571,166570600.0
2010-05-28,AAPL,37.0557137142,36.6971435714,203903700.0
2010-06-01,AAPL,37.0985717142,37.2614288571,219118200.0
2010-06-02,AAPL,37.7914275714,37.7071418571,172137000.0
2010-06-03,AAPL,37.8828582857,37.5885695714,162526700.0
2010-06-04,AAPL,36.8871421428,36.5657158571,189576100.0
2010-06-07,AAPL,36.898571,35.8485717142,221735500.0
2010-06-08,AAPL,36.1771431428,35.6185722857,250192600.0
2010-06-09,AAPL,35.9242858571,34.7428588571,213657500.0
2010-06-10,AAPL,34.9771422857,35.7871437142,194089000.0
2010-06-11,AAPL,35.4614295714,36.2157135714,136439800.0
2010-06-14,AAPL,36.5657158571,36.3257141428,150740100.0
2010-06-15,AAPL,36.5200004285,37.0985717142,146268500.0
2010-06-16,AAPL,37.2999992857,38.1785698571,195919500.0
2010-06-17,AAPL,38.6571425714,38.8385695714,218213800.0
2010-06-18,AAPL,38.8928565714,39.1528587142,196155400.0
2010-06-21,AAPL,39.6699981428,38.5957145714,194122600.0
2010-06-22,AAPL,38.880001,39.1214294285,179315500.0
2010-06-23,AAPL,39.2257155714,38.7099991428,192114300.0
2010-06-24,AAPL,38.7142868571,38.4285698571,178569300.0
2010-06-25,AAPL,38.5800018571,38.0999984285,137485600.0
2010-06-28,AAPL,38.1328582857,38.3285712857,146237000.0
2010-06-29,AAPL,37.73143,36.5957145714,283336200.0
2010-06-30,AAPL,36.6728554285,35.9328575714,184863000.0
2010-07-01,AAPL,36.3285712857,35.4971428571,255724000.0
2010-07-02,AAPL,35.7842864285,35.2771415714,173460700.0
2010-07-06,AAPL,35.8571434285,35.51857,153808900.0
2010-07-07,AAPL,35.7842864285,36.952858,163639000.0
2010-07-08,AAPL,37.4971428571,36.869999,184536100.0
2010-07-09,AAPL,36.6985702857,37.0885695714,108330600.0
2010-07-12,AAPL,36.9328575714,36.7557144285,140719600.0
2010-07-13,AAPL,36.6171417142,35.9714278571,297731000.0
2010-07-14,AAPL,35.6257132857,36.1042861428,203011900.0
2010-07-15,AAPL,35.4614295714,35.9214287142,206216500.0
2010-07-16,AAPL,36.1685714285,35.7000007143,259964600.0
2010-07-19,AAPL,35.6971435714,35.082859,256119500.0
2010-07-20,AAPL,34.7000007143,35.9842872857,268737700.0
2010-07-21,AAPL,37.869999,36.3199997142,296417800.0
2010-07-22,AAPL,36.811428,37.0028571428,161329700.0
2010-07-23,AAPL,36.7271422857,37.134285,133347200.0
2010-07-26,AAPL,37.1428565714,37.0400008571,105137900.0
2010-07-27,AAPL,37.2671432857,37.7257155714,146192900.0
2010-07-28,AAPL,37.667141,37.2799987142,129996300.0
2010-07-29,AAPL,37.2442855714,36.8728561428,160951700.0
2010-07-30,AAPL,36.5557137142,36.75,112052500.0
2010-08-02,AAPL,37.2057151428,37.4071425714,107013900.0
2010-08-03,AAPL,37.2871437142,37.4185714285,104413400.0
2010-08-04,AAPL,37.5485725714,37.568573,105093800.0
2010-08-05,AAPL,37.3899994285,37.3857154285,72274300.0
2010-08-06,AAPL,37.1114272857,37.155716,111224400.0
2010-08-09,AAPL,37.3542861428,37.3928565714,75782000.0
2010-08-10,AAPL,37.1214294285,37.0585708571,112980000.0
2010-08-11,AAPL,36.485714,35.7414284285,155013600.0
2010-08-12,AAPL,35.2414284285,35.9700012857,133730100.0
2010-08-13,AAPL,35.9500007142,35.5857124285,88717300.0
2010-08-16,AAPL,35.3685722857,35.3771438571,79607500.0
2010-08-17,AAPL,35.7257155714,35.9957161428,105660100.0
2010-08-18,AAPL,36.0514297142,36.1528587142,84924000.0
2010-08-19,AAPL,36.119999,35.6971435714,106676500.0
2010-08-20,AAPL,35.6271438571,35.662857,96057500.0
2010-08-23,AAPL,35.9700012857,35.1142845714,103510400.0
2010-08-24,AAPL,34.667141,34.2757148571,150641400.0
2010-08-25,AAPL,34.0057144285,34.6985702857,149216900.0
2010-08-26,AAPL,35.0642852857,34.3257141428,116626300.0
2010-08-27,AAPL,34.5357131428,34.5171432857,137097800.0
2010-08-30,AAPL,34.3942871428,34.6428565714,95822300.0
2010-08-31,AAPL,34.5499992857,34.7285728571,105196700.0
2010-09-01,AAPL,35.3528557143,35.7614288571,174259400.0
2010-09-02,AAPL,35.8942871428,36.0242844285,103856900.0
2010-09-03,AAPL,36.4414291428,36.967144,130197200.0
2010-09-07,AAPL,36.662857,36.8300018571,85639400.0
2010-09-08,AAPL,37.1114272857,37.5600014285,131637800.0
2010-09-09,AAPL,37.8628578571,37.5814285714,109643800.0
2010-09-10,AAPL,37.5985717142,37.630001,96885600.0
2010-09-13,AAPL,37.9742851428,38.148571,97195000.0
2010-09-14,AAPL,38.0299987142,38.2942848571,102037600.0
2010-09-15,AAPL,38.3100014285,38.6028557142,107342200.0
2010-09-16,AAPL,38.6057128571,39.5099982857,163025800.0
2010-09-17,AAPL,39.6699981428,39.3385695714,158619300.0
2010-09-20,AAPL,39.4399985714,40.4614295714,164669400.0
2010-09-21,AAPL,40.5514297142,40.5385704285,167018600.0
2010-09-22,AAPL,40.3871421428,41.1071434285,146322400.0
2010-09-23,AAPL,40.9042854285,41.2742844285,196529200.0
2010-09-24,AAPL,41.7285728571,41.7599982857,162372000.0
2010-09-27,AAPL,41.9971428571,41.594284,120708700.0
2010-09-28,AAPL,41.681427,40.9799995714,258760600.0
