Metric,Single Stock,Multi-Stock,Difference,% Change,Type
Accuracy,0.5600907029478458,0.5510204081632653,-0.009070294784580546,-1.619433198380571,Direction Prediction
Precision,0.5814814814814815,0.5531914893617021,-0.02828999211977934,-4.865157880471605,Direction Prediction
Recall,0.6596638655462185,0.8739495798319328,0.2142857142857143,32.48407643312101,Direction Prediction
F1 Score,0.6181102362204725,0.6775244299674267,0.059414193746954225,9.612232618934001,Direction Prediction
ROC AUC,0.5405058575154199,0.49904789502007707,-0.04145796249534284,-7.670215210232034,Direction Prediction
MSE,1.7561342711031491,1130.1469959752194,1128.3908617041163,-64254.247540838434,Price Prediction
RMSE,1.3251921638400783,33.617658990108445,32.29246682626837,-2436.8138981966817,Price Prediction
MAE,0.902876698078222,28.39710240424483,27.494225706166606,-3045.1805617188056,Price Prediction
R² Score,0.9978553254999625,-0.380189136699419,-1.3780444621993815,-138.10062711334734,Price Prediction
